index,process_stage,name,op,target,args,users,shape,dtype,device,args_repr,kwargs_repr
0,inputs,arg0_1,placeholder,arg0_1,,,"[3, 105]",int64,cuda:0,(),{}
1,inputs,arg1_1,placeholder,arg1_1,,add,"[105, 5120]",bfloat16,cuda:0,(),{}
2,inputs,arg2_1,placeholder,arg2_1,,add,"[105, 5120]",bfloat16,cuda:0,(),{}
3,input_rmsnorm,_param_constant0,get_attr,_param_constant0,,detach,[5120],bfloat16,cuda:0,(),{}
4,input_rmsnorm,detach,call_function,aten.detach.default,_param_constant0,_to_copy_1,[5120],bfloat16,cuda:0,"(_param_constant0,)",{}
5,input_rmsnorm,add,call_function,aten.add.Tensor,arg1_1 arg2_1,_to_copy add_4,"[105, 5120]",bfloat16,cuda:0,"(arg1_1, arg2_1)",{}
6,input_rmsnorm,_to_copy,call_function,aten._to_copy.default,add,mul pow_1,"[105, 5120]",float32,cuda:0,"(add,)",{'dtype': torch.float32}
7,input_rmsnorm,pow_1,call_function,aten.pow.Tensor_Scalar,_to_copy,mean,"[105, 5120]",float32,cuda:0,"(_to_copy, 2)",{}
8,input_rmsnorm,mean,call_function,aten.mean.dim,pow_1,add_1,"[105, 1]",float32,cuda:0,"(pow_1, [-1], True)",{}
9,input_rmsnorm,add_1,call_function,aten.add.Tensor,mean,rsqrt,"[105, 1]",float32,cuda:0,"(mean, 1e-06)",{}
10,input_rmsnorm,rsqrt,call_function,aten.rsqrt.default,add_1,mul,"[105, 1]",float32,cuda:0,"(add_1,)",{}
11,input_rmsnorm,mul,call_function,aten.mul.Tensor,_to_copy rsqrt,mul_1,"[105, 5120]",float32,cuda:0,"(_to_copy, rsqrt)",{}
12,input_rmsnorm,_to_copy_1,call_function,aten._to_copy.default,detach,add_2,[5120],float32,cuda:0,"(detach,)",{'dtype': torch.float32}
13,input_rmsnorm,add_2,call_function,aten.add.Tensor,_to_copy_1,mul_1,[5120],float32,cuda:0,"(_to_copy_1, 1.0)",{}
14,input_rmsnorm,mul_1,call_function,aten.mul.Tensor,mul add_2,_to_copy_2,"[105, 5120]",float32,cuda:0,"(mul, add_2)",{}
15,input_rmsnorm,_to_copy_2,call_function,aten._to_copy.default,mul_1,empty_like mm mm_1,"[105, 5120]",bfloat16,cuda:0,"(mul_1,)",{'dtype': torch.bfloat16}
16,input_rmsnorm,empty_like,call_function,aten.empty_like.default,_to_copy_2,copy_,"[105, 5120]",bfloat16,cuda:0,"(_to_copy_2,)",{'pin_memory': False}
17,qkv_projection,_param_constant1,get_attr,_param_constant1,,t,"[16384, 5120]",bfloat16,cuda:0,(),{}
18,qkv_projection,t,call_function,aten.t.default,_param_constant1,mm,"[5120, 16384]",bfloat16,cuda:0,"(_param_constant1,)",{}
19,qkv_projection,mm,call_function,aten.mm.default,_to_copy_2 t,split_with_sizes,"[105, 16384]",bfloat16,cuda:0,"(_to_copy_2, t)",{}
20,qkv_projection,split_with_sizes,call_function,aten.split_with_sizes.default,mm,getitem getitem_1,,,,"(mm, [10240, 6144], -1)",{}
21,qkv_projection,getitem,call_function,<built-in function getitem>,split_with_sizes,gdn_attention_core,"[105, 10240]",bfloat16,cuda:0,"(split_with_sizes, 0)",{}
22,qkv_projection,getitem_1,call_function,<built-in function getitem>,split_with_sizes,view,"[105, 6144]",bfloat16,cuda:0,"(split_with_sizes, 1)",{}
23,qkv_projection,view,call_function,aten.view.default,getitem_1,clone_2,"[105, 48, 128]",bfloat16,cuda:0,"(getitem_1, [105, 48, 128])",{}
24,qkv_projection,_param_constant2,get_attr,_param_constant2,,t_1,"[96, 5120]",bfloat16,cuda:0,(),{}
25,qkv_projection,t_1,call_function,aten.t.default,_param_constant2,mm_1,"[5120, 96]",bfloat16,cuda:0,"(_param_constant2,)",{}
26,qkv_projection,mm_1,call_function,aten.mm.default,_to_copy_2 t_1,split,"[105, 96]",bfloat16,cuda:0,"(_to_copy_2, t_1)",{}
27,qkv_projection,split,call_function,aten.split.Tensor,mm_1,getitem_2 getitem_3,,,,"(mm_1, 48, -1)",{}
28,qkv_projection,getitem_2,call_function,<built-in function getitem>,split,clone,"[105, 48]",bfloat16,cuda:0,"(split, 0)",{}
29,qkv_projection,getitem_3,call_function,<built-in function getitem>,split,clone_1,"[105, 48]",bfloat16,cuda:0,"(split, 1)",{}
30,qkv_projection,clone,call_function,aten.clone.default,getitem_2,gdn_attention_core,"[105, 48]",bfloat16,cuda:0,"(getitem_2,)",{'memory_format': torch.contiguous_format}
31,qkv_projection,clone_1,call_function,aten.clone.default,getitem_3,gdn_attention_core,"[105, 48]",bfloat16,cuda:0,"(getitem_3,)",{'memory_format': torch.contiguous_format}
32,qkv_projection,zeros,call_function,aten.zeros.default,,gdn_attention_core view_1,"[105, 48, 128]",bfloat16,cuda:0,"([105, 48, 128],)","{'dtype': torch.bfloat16, 'device': device(type='cuda', index=0), 'pin_memory': False}"
33,gdn_recurrent_core,gdn_attention_core,call_function,vllm.gdn_attention_core.default,getitem clone clone_1 zeros,,,,,"(getitem, clone, clone_1, zeros, 'language_model.model.layers.62.linear_attn')",{}
34,gdn_gated_rmsnorm,view_1,call_function,aten.view.default,zeros,_to_copy_3,"[5040, 128]",bfloat16,cuda:0,"(zeros, [-1, 128])",{}
35,gdn_gated_rmsnorm,clone_2,call_function,aten.clone.default,view,_unsafe_view,"[105, 48, 128]",bfloat16,cuda:0,"(view,)",{'memory_format': torch.contiguous_format}
36,gdn_gated_rmsnorm,_unsafe_view,call_function,aten._unsafe_view.default,clone_2,_to_copy_5,"[5040, 128]",bfloat16,cuda:0,"(clone_2, [5040, 128])",{}
37,gdn_gated_rmsnorm,_to_copy_3,call_function,aten._to_copy.default,view_1,mul_2 pow_2,"[5040, 128]",float32,cuda:0,"(view_1,)",{'dtype': torch.float32}
38,gdn_gated_rmsnorm,_param_constant3,get_attr,_param_constant3,,_to_copy_4,[128],bfloat16,cuda:0,(),{}
39,gdn_gated_rmsnorm,_to_copy_4,call_function,aten._to_copy.default,_param_constant3,mul_3,[128],float32,cuda:0,"(_param_constant3,)",{'dtype': torch.float32}
40,gdn_gated_rmsnorm,_to_copy_5,call_function,aten._to_copy.default,_unsafe_view,silu,"[5040, 128]",float32,cuda:0,"(_unsafe_view,)",{'dtype': torch.float32}
41,gdn_gated_rmsnorm,pow_2,call_function,aten.pow.Tensor_Scalar,_to_copy_3,mean_1,"[5040, 128]",float32,cuda:0,"(_to_copy_3, 2)",{}
42,gdn_gated_rmsnorm,mean_1,call_function,aten.mean.dim,pow_2,add_3,"[5040, 1]",float32,cuda:0,"(pow_2, [-1], True)",{}
43,gdn_gated_rmsnorm,add_3,call_function,aten.add.Tensor,mean_1,rsqrt_1,"[5040, 1]",float32,cuda:0,"(mean_1, 1e-06)",{}
44,gdn_gated_rmsnorm,rsqrt_1,call_function,aten.rsqrt.default,add_3,mul_2,"[5040, 1]",float32,cuda:0,"(add_3,)",{}
45,gdn_gated_rmsnorm,mul_2,call_function,aten.mul.Tensor,_to_copy_3 rsqrt_1,mul_3,"[5040, 128]",float32,cuda:0,"(_to_copy_3, rsqrt_1)",{}
46,gdn_gated_rmsnorm,mul_3,call_function,aten.mul.Tensor,_to_copy_4 mul_2,mul_4,"[5040, 128]",float32,cuda:0,"(mul_2, _to_copy_4)",{}
47,gdn_gated_rmsnorm,silu,call_function,aten.silu.default,_to_copy_5,mul_4,"[5040, 128]",float32,cuda:0,"(_to_copy_5,)",{}
48,gdn_gated_rmsnorm,mul_4,call_function,aten.mul.Tensor,mul_3 silu,_to_copy_6,"[5040, 128]",float32,cuda:0,"(mul_3, silu)",{}
49,gdn_gated_rmsnorm,_to_copy_6,call_function,aten._to_copy.default,mul_4,view_2,"[5040, 128]",bfloat16,cuda:0,"(mul_4,)",{'dtype': torch.bfloat16}
50,gdn_gated_rmsnorm,view_2,call_function,aten.view.default,_to_copy_6,view_3,"[105, 48, 128]",bfloat16,cuda:0,"(_to_copy_6, [105, 48, 128])",{}
51,gdn_gated_rmsnorm,view_3,call_function,aten.view.default,view_2,mm_2,"[105, 6144]",bfloat16,cuda:0,"(view_2, [105, 6144])",{}
52,output_projection,_param_constant4,get_attr,_param_constant4,,t_2,"[5120, 6144]",bfloat16,cuda:0,(),{}
53,output_projection,t_2,call_function,aten.t.default,_param_constant4,mm_2,"[6144, 5120]",bfloat16,cuda:0,"(_param_constant4,)",{}
54,output_projection,mm_2,call_function,aten.mm.default,view_3 t_2,copy_,"[105, 5120]",bfloat16,cuda:0,"(view_3, t_2)",{}
55,output_projection,copy_,call_function,aten.copy_.default,empty_like mm_2,add_4,"[105, 5120]",bfloat16,cuda:0,"(empty_like, mm_2)",{}
56,output_projection,_param_constant5,get_attr,_param_constant5,,detach_1,[5120],bfloat16,cuda:0,(),{}
57,output_projection,detach_1,call_function,aten.detach.default,_param_constant5,_to_copy_8,[5120],bfloat16,cuda:0,"(_param_constant5,)",{}
58,output_projection,add_4,call_function,aten.add.Tensor,add copy_,_to_copy_7 output,"[105, 5120]",bfloat16,cuda:0,"(copy_, add)",{}
59,post_attention_rmsnorm,_to_copy_7,call_function,aten._to_copy.default,add_4,mul_5 pow_3,"[105, 5120]",float32,cuda:0,"(add_4,)",{'dtype': torch.float32}
60,post_attention_rmsnorm,pow_3,call_function,aten.pow.Tensor_Scalar,_to_copy_7,mean_2,"[105, 5120]",float32,cuda:0,"(_to_copy_7, 2)",{}
61,post_attention_rmsnorm,mean_2,call_function,aten.mean.dim,pow_3,add_5,"[105, 1]",float32,cuda:0,"(pow_3, [-1], True)",{}
62,post_attention_rmsnorm,add_5,call_function,aten.add.Tensor,mean_2,rsqrt_2,"[105, 1]",float32,cuda:0,"(mean_2, 1e-06)",{}
63,post_attention_rmsnorm,rsqrt_2,call_function,aten.rsqrt.default,add_5,mul_5,"[105, 1]",float32,cuda:0,"(add_5,)",{}
64,post_attention_rmsnorm,mul_5,call_function,aten.mul.Tensor,_to_copy_7 rsqrt_2,mul_6,"[105, 5120]",float32,cuda:0,"(_to_copy_7, rsqrt_2)",{}
65,post_attention_rmsnorm,_to_copy_8,call_function,aten._to_copy.default,detach_1,add_6,[5120],float32,cuda:0,"(detach_1,)",{'dtype': torch.float32}
66,post_attention_rmsnorm,add_6,call_function,aten.add.Tensor,_to_copy_8,mul_6,[5120],float32,cuda:0,"(_to_copy_8, 1.0)",{}
67,post_attention_rmsnorm,mul_6,call_function,aten.mul.Tensor,mul_5 add_6,_to_copy_9,"[105, 5120]",float32,cuda:0,"(mul_5, add_6)",{}
68,post_attention_rmsnorm,_to_copy_9,call_function,aten._to_copy.default,mul_6,mm_3,"[105, 5120]",bfloat16,cuda:0,"(mul_6,)",{'dtype': torch.bfloat16}
69,mlp,_param_constant6,get_attr,_param_constant6,,t_3,"[34816, 5120]",bfloat16,cuda:0,(),{}
70,mlp,t_3,call_function,aten.t.default,_param_constant6,mm_3,"[5120, 34816]",bfloat16,cuda:0,"(_param_constant6,)",{}
71,mlp,mm_3,call_function,aten.mm.default,_to_copy_9 t_3,silu_and_mul,"[105, 34816]",bfloat16,cuda:0,"(_to_copy_9, t_3)",{}
72,mlp,empty,call_function,aten.empty.memory_format,,mm_4 silu_and_mul,"[105, 17408]",bfloat16,cuda:0,"([105, 17408],)","{'dtype': torch.bfloat16, 'device': device(type='cuda', index=0), 'pin_memory': False}"
73,mlp,silu_and_mul,call_function,_C.silu_and_mul.default,mm_3 empty,,,,,"(empty, mm_3)",{}
74,mlp,_param_constant7,get_attr,_param_constant7,,t_4,"[5120, 17408]",bfloat16,cuda:0,(),{}
75,mlp,t_4,call_function,aten.t.default,_param_constant7,mm_4,"[17408, 5120]",bfloat16,cuda:0,"(_param_constant7,)",{}
