index,process_stage,name,op,target,args,users,shape,dtype,device,args_repr,kwargs_repr
0,inputs,arg0_1,placeholder,arg0_1,,,"[3, 1]",int64,cuda:0,(),{}
1,inputs,arg1_1,placeholder,arg1_1,,_to_copy add_3,"[1, 5120]",bfloat16,cuda:0,(),{}
2,inputs,arg2_1,placeholder,arg2_1,,,,,,(),{}
3,input_rmsnorm,_param_constant0,get_attr,_param_constant0,,detach,[5120],bfloat16,cuda:0,(),{}
4,input_rmsnorm,detach,call_function,aten.detach.default,_param_constant0,_to_copy_1,[5120],bfloat16,cuda:0,"(_param_constant0,)",{}
5,input_rmsnorm,_to_copy,call_function,aten._to_copy.default,arg1_1,mul pow_1,"[1, 5120]",float32,cuda:0,"(arg1_1,)",{'dtype': torch.float32}
6,input_rmsnorm,pow_1,call_function,aten.pow.Tensor_Scalar,_to_copy,mean,"[1, 5120]",float32,cuda:0,"(_to_copy, 2)",{}
7,input_rmsnorm,mean,call_function,aten.mean.dim,pow_1,add,"[1, 1]",float32,cuda:0,"(pow_1, [-1], True)",{}
8,input_rmsnorm,add,call_function,aten.add.Tensor,mean,rsqrt,"[1, 1]",float32,cuda:0,"(mean, 1e-06)",{}
9,input_rmsnorm,rsqrt,call_function,aten.rsqrt.default,add,mul,"[1, 1]",float32,cuda:0,"(add,)",{}
10,input_rmsnorm,mul,call_function,aten.mul.Tensor,_to_copy rsqrt,mul_1,"[1, 5120]",float32,cuda:0,"(_to_copy, rsqrt)",{}
11,input_rmsnorm,_to_copy_1,call_function,aten._to_copy.default,detach,add_1,[5120],float32,cuda:0,"(detach,)",{'dtype': torch.float32}
12,input_rmsnorm,add_1,call_function,aten.add.Tensor,_to_copy_1,mul_1,[5120],float32,cuda:0,"(_to_copy_1, 1.0)",{}
13,input_rmsnorm,mul_1,call_function,aten.mul.Tensor,mul add_1,_to_copy_2,"[1, 5120]",float32,cuda:0,"(mul, add_1)",{}
14,input_rmsnorm,_to_copy_2,call_function,aten._to_copy.default,mul_1,empty_like mm mm_1,"[1, 5120]",bfloat16,cuda:0,"(mul_1,)",{'dtype': torch.bfloat16}
