index,process_stage,name,op,target,args,users,shape,dtype,device,args_repr,kwargs_repr
0,inputs,arg0_1,placeholder,arg0_1,,index,"[3, 1]",int64,cuda:0,(),{}
1,inputs,arg1_1,placeholder,arg1_1,,add,"[1, 5120]",bfloat16,cuda:0,(),{}
2,inputs,arg2_1,placeholder,arg2_1,,add,"[1, 5120]",bfloat16,cuda:0,(),{}
3,input_rmsnorm,_param_constant0,get_attr,_param_constant0,,detach,[5120],bfloat16,cuda:0,(),{}
4,input_rmsnorm,detach,call_function,aten.detach.default,_param_constant0,_to_copy_1,[5120],bfloat16,cuda:0,"(_param_constant0,)",{}
5,input_rmsnorm,add,call_function,aten.add.Tensor,arg1_1 arg2_1,_to_copy add_9,"[1, 5120]",bfloat16,cuda:0,"(arg1_1, arg2_1)",{}
6,input_rmsnorm,_to_copy,call_function,aten._to_copy.default,add,mul pow_1,"[1, 5120]",float32,cuda:0,"(add,)",{'dtype': torch.float32}
7,input_rmsnorm,pow_1,call_function,aten.pow.Tensor_Scalar,_to_copy,mean,"[1, 5120]",float32,cuda:0,"(_to_copy, 2)",{}
8,input_rmsnorm,mean,call_function,aten.mean.dim,pow_1,add_1,"[1, 1]",float32,cuda:0,"(pow_1, [-1], True)",{}
9,input_rmsnorm,add_1,call_function,aten.add.Tensor,mean,rsqrt,"[1, 1]",float32,cuda:0,"(mean, 1e-06)",{}
10,input_rmsnorm,rsqrt,call_function,aten.rsqrt.default,add_1,mul,"[1, 1]",float32,cuda:0,"(add_1,)",{}
11,input_rmsnorm,mul,call_function,aten.mul.Tensor,_to_copy rsqrt,mul_1,"[1, 5120]",float32,cuda:0,"(_to_copy, rsqrt)",{}
12,input_rmsnorm,_to_copy_1,call_function,aten._to_copy.default,detach,add_2,[5120],float32,cuda:0,"(detach,)",{'dtype': torch.float32}
13,input_rmsnorm,add_2,call_function,aten.add.Tensor,_to_copy_1,mul_1,[5120],float32,cuda:0,"(_to_copy_1, 1.0)",{}
14,input_rmsnorm,mul_1,call_function,aten.mul.Tensor,mul add_2,_to_copy_2,"[1, 5120]",float32,cuda:0,"(mul, add_2)",{}
15,input_rmsnorm,_to_copy_2,call_function,aten._to_copy.default,mul_1,empty_like mm,"[1, 5120]",bfloat16,cuda:0,"(mul_1,)",{'dtype': torch.bfloat16}
16,input_rmsnorm,empty_like,call_function,aten.empty_like.default,_to_copy_2,copy__4,"[1, 5120]",bfloat16,cuda:0,"(_to_copy_2,)",{'pin_memory': False}
17,qkv_projection,_param_constant1,get_attr,_param_constant1,,t,"[14336, 5120]",bfloat16,cuda:0,(),{}
18,qkv_projection,t,call_function,aten.t.default,_param_constant1,mm,"[5120, 14336]",bfloat16,cuda:0,"(_param_constant1,)",{}
19,qkv_projection,mm,call_function,aten.mm.default,_to_copy_2 t,split_with_sizes,"[1, 14336]",bfloat16,cuda:0,"(_to_copy_2, t)",{}
20,qkv_projection,split_with_sizes,call_function,aten.split_with_sizes.default,mm,getitem getitem_1 getitem_2,,,,"(mm, [12288, 1024, 1024], -1)",{}
21,qkv_projection,getitem,call_function,<built-in function getitem>,split_with_sizes,view,"[1, 12288]",bfloat16,cuda:0,"(split_with_sizes, 0)",{}
